feedstock_type,conversion_route,moisture_pct,organic_fraction_pct,ash_pct,carbon_nitrogen_ratio,lower_heating_value_mj_kg,contamination_pct,temperature_c,hydraulic_retention_time_d,residence_time_min,oxygen_equivalence_ratio,ph,pretreatment_intensity,sensor_coverage,data_quality_index,collection_distance_km,seasonality_index,local_energy_demand_index,vulnerable_population_index,sorting_efficiency,net_energy_mwh_t,net_emissions_kgco2e_t,operating_cost_usd_t,material_recovery_index,reliability_index,exposure_index,carbon_avoidance_index,economic_viability_index,environmental_justice_index,ai_circularity_score,energy_objective,emission_objective,cost_objective,exposure_objective,reliability_objective,circularity_objective,pareto_efficient,composite_governance_score
food_waste,anaerobic_digestion,77.23870310772318,76.69259612919089,9.234221900599154,10.86052497757225,9.889989432538131,7.729892138328726,35.791131523154725,21.420309787272643,3.0,0.12090480173213508,7.290633236255584,0.749590042303718,0.6781127601920234,0.6694525533332715,42.56874669111867,-0.025775090500966224,0.5384369270416149,0.08160622196076966,0.5731423144434697,0.45143829197611535,137.39445978364012,96.17089317604588,0.8091435370268638,0.8649499978346845,0.02683676438613688,0.2145598447178179,0.593153828571346,0.9731632356138631,57.24864635563462,0.29425387507390244,0.5028420461499783,0.6091266553755548,0.9728120376177348,0.6270474494508222,0.4581181892051719,False,54.888541923805334
agricultural_residues,pyrolysis,22.45085696048701,73.92556871266008,10.823032755429525,49.46037742354912,13.848000974152054,0.5,473.81409706936904,5.882004224114045,43.6757411770525,0.0832264182902975,7.227691608129785,0.4528298752292128,0.8624946376554881,0.8215036168394613,41.14982524645416,-0.11331555676764654,0.7441137714473378,0.1749119195071939,0.659075969491022,0.48023656776050005,177.4447388337284,87.60184571642543,0.6774953823910926,0.883213596318346,0.047112585417862334,0.11053314588641976,0.6445896990313867,0.9528874145821377,50.6066610990393,0.3153629830348996,0.4272360088607997,0.6766379167992514,0.94007069570444,0.6862517563477508,0.35672586015993885,False,53.45571519390856
msw_organic_fraction,pyrolysis,71.21472480143012,59.68945639851206,15.800089431009646,27.617199050314195,9.078166060236118,6.869069204111716,520.7284844824635,7.604612072714194,39.67028971733013,0.018138851961402337,6.833102025769472,0.5010983667063219,0.9026961126821044,0.8924134258542735,7.143530315330551,0.0020472346844392225,0.7268401678408234,0.3266384849089398,0.27822282030125006,0.10531505978430457,220.75661248063994,76.32436473631878,0.5415600899830363,0.9011013036144275,0.10866673166944935,0.0,0.6214621303298166,0.8913332683305506,45.140489621556675,0.04054588467720121,0.34547280491614774,0.7654875783557378,0.8406732239349499,0.744237553253385,0.2732827575857119,False,44.61669075697605
industrial_organic_residues,gasification,39.39477424080922,74.61005724846117,8.48055881188796,22.13474175587304,17.798069804820027,8.31169185014048,611.9290703186033,6.4635028253784155,42.87968234664625,0.23163953060873377,6.650986606410889,0.3362983873255945,0.9847484678715129,0.9835350083181313,38.29236666390161,-0.08949630315778168,0.48147559420708597,0.7519078409335238,0.46689117002931246,0.5304523805490313,159.18268959596097,108.42959251337989,0.41544482054239235,0.8920919253629952,0.2865956694139544,0.157967040010491,0.5460174578608927,0.7134043305860456,44.85837496516647,0.3521711246555552,0.46171070437841855,0.5125464625855022,0.5533540481616556,0.7150322465650297,0.268976174393466,False,46.07958596231373
msw_organic_fraction,pyrolysis,53.81498604470411,57.30321877423965,12.56853110137769,23.60301978718321,13.11286262779261,8.37164731119643,607.973212938352,10.555747136544111,74.53834676239512,0.057862671595705614,6.829159967890822,0.33632633760235653,0.8296843734449008,0.7445787646264261,59.25289303693268,0.23808869413569728,0.6438653838757832,0.1906634163110627,0.7376763589682876,0.2881719541453272,175.0767679339814,109.77951942941269,0.6327236655718854,0.8641875348384777,0.07077248195748434,0.11668371965199639,0.485610885546642,0.9292275180425157,47.712208981944414,0.17457980925585473,0.43170621232485185,0.5019110600672377,0.9018647576551327,0.6245758065670081,0.3125409922139068,False,45.938082059598514
industrial_organic_residues,hybrid_biorefinery,45.18047579249271,82.05205969924512,10.3051873127062,20.11080401655765,14.50242837616802,12.106244081418456,631.9978647734424,17.740122037966227,65.27352040635145,0.01,7.222033412300135,0.7014019473166363,0.49200768495895625,0.5844179390465472,34.5751647264648,-0.0874815369411906,0.8422458018274878,0.2388747481661569,0.7384185332181769,0.657776809963747,35.2181957287509,130.1922465264971,0.895973080519946,0.8439342602785997,0.08723491228732376,0.47995273836688074,0.459488548052566,0.9127650877126763,64.33081884781993,0.445499806786065,0.6957281536485449,0.3410893395766289,0.8752812689120779,0.5589216539210515,0.56623013705536,False,58.09126648992912
food_waste,hybrid_biorefinery,71.9837253342438,73.8578552581588,10.073798056007785,15.901344870959417,9.216160669021388,3.6210933732672306,465.73548864652105,29.405124495328646,38.06751128249081,0.13789551065712136,6.797958353551832,0.44229064234737564,0.39579141775854587,0.4359932695500328,34.0868508335625,0.2214497441208958,0.670851842871084,0.742113204138914,0.6855858947752203,0.61759672898544,74.76579146854476,116.42375336504591,0.9214320714687245,0.8695705016831318,0.21687290551087307,0.3772317104713123,0.5231146837186604,0.7831270944891269,64.18175617307442,0.41604784675890977,0.6210710708736465,0.4495644467123153,0.6659421820043643,0.6420255343066973,0.5639546409224604,False,55.11537040330784
sewage_sludge,anaerobic_digestion,74.78247227568063,54.68071144539107,26.073565634341698,8.042347189114555,6.101345386179871,9.013812227311627,33.05305439987156,25.559966688251777,29.215999686334705,0.26243891859895085,7.460572781071571,0.23973647418523908,0.5393212610811585,0.6745035112016142,10.707760519765742,0.1594989597279775,0.7055739843326271,0.8047603321855558,0.8934167565079484,0.19980058564606273,188.03933554401306,68.06322362922032,0.8394364214706248,0.8259821581594563,0.3029943944073847,0.08301471287269337,0.6857286360567637,0.6970056055926153,47.85266739155375,0.10980368264748544,0.40723576184779353,0.83057299882604,0.5268734306265193,0.5007271111392672,0.3146851410992327,False,41.43011221356643
industrial_organic_residues,gasification,42.81337493846308,74.37013265739657,12.769754857534132,18.29923029667036,15.841519291971188,8.724327551611285,694.6750646367872,5.949976439478684,35.633670931703584,0.3625748004858292,6.551540194033249,0.24578418186825113,0.7820068045483521,0.8634047810828517,48.31956327727533,0.14682618325160138,0.5020518839165793,0.6187954069941687,0.18,0.4128140315323423,235.71887972223425,112.55614498902425,0.3335924416881811,0.8335490699756356,0.2828255704539351,0.0,0.49841832383698775,0.7171744295460649,38.61265186834615,0.26594232997565836,0.3172273653879021,0.4800354087869778,0.5594419939421893,0.5252564375930789,0.17363293183968304,False,36.94173955699703
sewage_sludge,pyrolysis,70.3412033293102,53.80089555057377,23.939827883786435,13.460251528574114,6.739534538619135,11.129612207985494,708.9757323808307,1.0,33.749833362367035,0.03215576986780887,6.284052822713238,0.6409208300499123,0.8399816606570005,0.8116217822970652,76.73342892108282,-0.060100191827937355,0.38305185309523304,0.40683682761305284,0.5246971656341316,0.05,262.58898758668124,137.68819707920102,0.5845406723566274,0.8257891929153487,0.16316199721935062,0.0,0.2863252785305209,0.8368380027806493,33.20074992216436,0.0,0.26650256582725695,0.2820324747655296,0.7526744139615679,0.5001015841631453,0.0910182734673341,False,28.377102142841004
