feedstock_type,conversion_route,net_energy_mwh_t,net_emissions_kgco2e_t,operating_cost_usd_t,exposure_index,reliability_index,ai_circularity_score,composite_governance_score
agricultural_residues,hybrid_biorefinery,1.3426130063054327,-100.65484169082912,96.10703516460927,0.11785044694316545,0.9773159483978107,92.7461147736918,89.55917010708299
agricultural_residues,hybrid_biorefinery,1.4142583020369515,-91.81177318611492,118.35487329817423,0.04421994312705952,0.98,89.34965859806421,89.10786935509735
agricultural_residues,hybrid_biorefinery,1.281927834158926,-125.96168871422798,96.68005306502543,0.07782922823711624,0.9407736347053529,89.2106635668084,88.3162200744714
agricultural_residues,hybrid_biorefinery,1.1865139051951628,-99.18100245446306,86.27481667333109,0.07445413987092099,0.98,86.23223348200237,87.71421092677153
agricultural_residues,hybrid_biorefinery,1.2632368205290767,-82.1487754181855,104.08406756793167,0.055835057055764116,0.9653431530552574,87.39059983941843,86.46437181432658
agricultural_residues,hybrid_biorefinery,1.0983360960366597,-84.5216810967884,94.95088802206895,0.03312748800648416,0.9656520539818557,85.02443499240272,84.84659737989824
food_waste,anaerobic_digestion,0.8942715556787398,19.001138944788224,64.27046645333354,0.05613051957673814,0.9683623114891557,76.36670054026912,78.18884191663294
food_waste,anaerobic_digestion,0.7583710341789502,-0.8743465769194003,68.1651053186606,0.05671697465704314,0.9445967472161745,76.79516410686452,75.44646087748771
food_waste,anaerobic_digestion,0.786801350924999,-10.166208175739992,77.34287859731107,0.11989174192586582,0.9737858405607279,79.27403019028588,75.43437530794654
food_waste,anaerobic_digestion,0.8018535696052023,24.30661807708522,61.5726222884439,0.04803823947369631,0.932190894645765,73.52597444811101,74.88983753689286
food_waste,anaerobic_digestion,0.6663926435738132,41.42625531708974,69.17635439411964,0.012025831573358708,0.9747538203659767,71.21983519757576,73.09154963128934
food_waste,anaerobic_digestion,0.8535169484943538,-2.426439822611286,73.3709377628539,0.05728093901426671,0.8604157746953506,75.972099851481,73.07659475181114
agricultural_residues,pyrolysis,0.7251934929476664,62.083057019957174,85.45550755310786,0.02580308189432819,0.8435676983364908,60.67009285272486,63.7379219204266
agricultural_residues,pyrolysis,0.5076282941410445,109.2324403512193,66.86894271638138,0.015646907540452212,0.903568876724565,60.35763832451432,62.67517322033693
agricultural_residues,pyrolysis,0.6091007658202552,82.25470997639479,81.1161146494665,0.01,0.8066428841295705,63.1625186904408,60.90067687207951
agricultural_residues,gasification,0.9468720024126548,75.24799005529401,98.02436799496216,0.023107727119958347,0.8446094908571782,62.75411272937967,66.09330628882249
agricultural_residues,gasification,0.9559389464740466,93.85837607523118,84.01551535252206,0.16179345629486813,0.8663235825837402,61.67881779421431,64.27404695390307
